fecha_hora,Temperatura,Calidad
2014-02-08 10:10:00,21.100000,1
2014-02-08 10:11:00,21.000000,1
2014-02-08 10:12:00,21.100000,1
2014-02-08 10:13:00,21.100000,1
2014-02-08 10:14:00,21.300000,1
2014-02-08 10:15:00,21.400000,1
2014-02-08 10:16:00,21.400000,1
2014-02-08 10:17:00,21.500000,1
2014-02-08 10:18:00,21.500000,1
2014-02-08 10:19:00,21.600000,1
2014-02-08 10:20:00,21.500000,1
2014-02-08 10:21:00,21.500000,1
2014-02-08 10:22:00,21.400000,1
2014-02-08 10:23:00,21.300000,1
2014-02-08 10:24:00,21.300000,1
2014-02-08 10:25:00,21.500000,1
2014-02-08 10:26:00,21.600000,1
2014-02-08 10:27:00,21.700000,1
2014-02-08 10:28:00,21.800000,1
2014-02-08 10:29:00,21.800000,1
2014-02-08 10:30:00,21.800000,1
2014-02-08 10:31:00,21.700000,1
2014-02-08 10:32:00,21.600000,1
2014-02-08 10:33:00,21.700000,1
2014-02-08 10:34:00,21.900000,1
2014-02-08 10:35:00,22.000000,1
2014-02-08 10:36:00,22.000000,1
2014-02-08 10:37:00,21.900000,1
2014-02-08 10:38:00,21.900000,1
2014-02-08 10:39:00,21.900000,1
2014-02-08 10:40:00,21.900000,1
2014-02-08 10:41:00,21.900000,1
2014-02-08 10:42:00,21.900000,1
2014-02-08 10:43:00,22.000000,1
2014-02-08 10:44:00,22.000000,1
2014-02-08 10:45:00,22.000000,1
2014-02-08 10:46:00,22.000000,1
2014-02-08 10:47:00,22.000000,1
2014-02-08 10:48:00,22.100000,1
2014-02-08 10:49:00,22.300000,1
2014-02-08 10:50:00,22.600000,1
2014-02-08 10:51:00,22.800000,1
2014-02-08 10:52:00,23.000000,1
2014-02-08 10:53:00,23.100000,1
2014-02-08 10:54:00,23.000000,1
2014-02-08 10:55:00,22.800000,1
2014-02-08 10:56:00,22.700000,1
2014-02-08 10:57:00,22.800000,1
2014-02-08 10:58:00,22.800000,1
2014-02-08 10:59:00,22.900000,1
2014-02-08 11:00:00,23.100000,1
2014-02-08 11:01:00,23.200000,1
2014-02-08 11:02:00,23.100000,1
2014-02-08 11:03:00,22.900000,1
2014-02-08 11:04:00,22.600000,1
2014-02-08 11:05:00,22.600000,1
2014-02-08 11:06:00,22.600000,1
2014-02-08 11:07:00,22.800000,1
2014-02-08 11:08:00,22.800000,1
2014-02-08 11:09:00,22.700000,1
2014-02-08 11:10:00,22.600000,1
2014-02-08 11:11:00,22.500000,1
2014-02-08 11:12:00,22.500000,1
2014-02-08 11:13:00,22.500000,1
2014-02-08 11:14:00,22.600000,1
2014-02-08 11:15:00,22.700000,1
2014-02-08 11:16:00,22.600000,1
2014-02-08 11:17:00,22.600000,1
2014-02-08 11:18:00,22.500000,1
2014-02-08 11:19:00,22.500000,1
2014-02-08 11:20:00,22.600000,1
2014-02-08 11:21:00,22.800000,1
2014-02-08 11:22:00,23.100000,1
2014-02-08 11:23:00,23.300000,1
2014-02-08 11:24:00,23.300000,1
2014-02-08 11:25:00,23.200000,1
2014-02-08 11:26:00,23.100000,1
2014-02-08 11:27:00,23.000000,1
2014-02-08 11:28:00,22.900000,1
2014-02-08 11:29:00,23.100000,1
2014-02-08 11:30:00,23.200000,1
2014-02-08 11:31:00,23.500000,1
2014-02-08 11:32:00,23.600000,1
2014-02-08 11:33:00,23.700000,1
2014-02-08 11:34:00,23.600000,1
2014-02-08 11:35:00,23.600000,1
2014-02-08 11:36:00,23.500000,1
2014-02-08 11:37:00,23.400000,1
2014-02-08 11:38:00,23.400000,1
2014-02-08 11:39:00,23.400000,1
2014-02-08 11:40:00,23.500000,1
2014-02-08 11:41:00,23.500000,1
2014-02-08 11:42:00,23.500000,1
2014-02-08 11:43:00,23.500000,1
2014-02-08 11:44:00,23.500000,1
2014-02-08 11:45:00,23.600000,1
2014-02-08 11:46:00,23.800000,1
2014-02-08 11:47:00,24.100000,1
2014-02-08 11:48:00,24.200000,1
2014-02-08 11:49:00,24.400000,1
2014-02-08 11:50:00,24.400000,1
2014-02-08 11:51:00,24.500000,1
2014-02-08 11:52:00,24.500000,1
2014-02-08 11:53:00,24.300000,1
2014-02-08 11:54:00,24.000000,1
2014-02-08 11:55:00,23.900000,1
2014-02-08 11:56:00,23.900000,1
2014-02-08 11:57:00,23.700000,1
2014-02-08 11:58:00,23.600000,1
2014-02-08 11:59:00,23.600000,1
2014-02-08 12:00:00,23.600000,1
2014-02-08 12:01:00,23.600000,1
2014-02-08 12:02:00,23.700000,1
2014-02-08 12:03:00,23.900000,1
2014-02-08 12:04:00,24.100000,1
2014-02-08 12:05:00,24.300000,1
2014-02-08 12:06:00,24.500000,1
2014-02-08 12:07:00,24.400000,1
2014-02-08 12:08:00,24.200000,1
2014-02-08 12:09:00,24.100000,1
2014-02-08 12:10:00,24.100000,1
2014-02-08 12:11:00,24.100000,1
2014-02-08 12:12:00,24.000000,1
2014-02-08 12:13:00,24.000000,1
2014-02-08 12:14:00,24.000000,1
2014-02-08 12:15:00,24.000000,1
2014-02-08 12:16:00,24.000000,1
2014-02-08 12:17:00,24.200000,1
2014-02-08 12:18:00,24.400000,1
2014-02-08 12:19:00,24.500000,1
2014-02-08 12:20:00,24.700000,1
2014-02-08 12:21:00,24.800000,1
2014-02-08 12:22:00,25.000000,1
2014-02-08 12:23:00,24.900000,1
2014-02-08 12:24:00,24.700000,1
2014-02-08 12:25:00,24.600000,1
2014-02-08 12:26:00,24.500000,1
2014-02-08 12:27:00,24.300000,1
2014-02-08 12:28:00,24.000000,1
2014-02-08 12:29:00,23.800000,1
2014-02-08 12:30:00,23.800000,1
2014-02-08 12:31:00,23.700000,1
2014-02-08 12:32:00,23.500000,1
2014-02-08 12:33:00,23.600000,1
2014-02-08 12:34:00,23.600000,1
2014-02-08 12:35:00,23.700000,1
2014-02-08 12:36:00,23.900000,1
2014-02-08 12:37:00,24.100000,1
2014-02-08 12:38:00,24.100000,1
2014-02-08 12:39:00,24.200000,1
2014-02-08 12:40:00,24.100000,1
2014-02-08 12:41:00,24.100000,1
2014-02-08 12:42:00,24.100000,1
2014-02-08 12:43:00,24.300000,1
2014-02-08 12:44:00,24.400000,1
2014-02-08 12:45:00,24.300000,1
2014-02-08 12:46:00,24.300000,1
2014-02-08 12:47:00,24.200000,1
2014-02-08 12:48:00,24.000000,1
2014-02-08 12:49:00,23.900000,1
2014-02-08 12:50:00,23.800000,1
2014-02-08 12:51:00,23.700000,1
2014-02-08 12:52:00,23.800000,1
2014-02-08 12:53:00,23.800000,1
2014-02-08 12:54:00,23.800000,1
2014-02-08 12:55:00,23.600000,1
2014-02-08 12:56:00,23.600000,1
2014-02-08 12:57:00,23.600000,1
2014-02-08 12:58:00,23.600000,1
2014-02-08 12:59:00,23.700000,1
2014-02-08 13:00:00,23.800000,1
2014-02-08 13:01:00,24.000000,1
2014-02-08 13:02:00,24.000000,1
2014-02-08 13:03:00,24.300000,1
2014-02-08 13:04:00,24.600000,1
2014-02-08 13:05:00,24.500000,1
2014-02-08 13:06:00,24.300000,1
2014-02-08 13:07:00,24.000000,1
2014-02-08 13:08:00,23.700000,1
2014-02-08 13:09:00,23.700000,1
2014-02-08 13:10:00,23.600000,1
2014-02-08 13:11:00,23.600000,1
2014-02-08 13:12:00,23.600000,1
2014-02-08 13:13:00,23.500000,1
2014-02-08 13:14:00,23.500000,1
2014-02-08 13:15:00,23.600000,1
2014-02-08 13:16:00,23.700000,1
2014-02-08 13:17:00,23.800000,1
2014-02-08 13:18:00,23.800000,1
2014-02-08 13:19:00,23.800000,1
2014-02-08 13:20:00,23.800000,1
2014-02-08 13:21:00,24.000000,1
2014-02-08 13:22:00,24.000000,1
2014-02-08 13:23:00,24.000000,1
2014-02-08 13:24:00,24.100000,1
2014-02-08 13:25:00,24.200000,1
2014-02-08 13:26:00,24.200000,1
2014-02-08 13:27:00,24.200000,1
2014-02-08 13:28:00,24.100000,1
2014-02-08 13:29:00,23.900000,1
2014-02-08 13:30:00,23.900000,1
2014-02-08 13:31:00,23.800000,1
2014-02-08 13:32:00,23.900000,1
2014-02-08 13:33:00,24.000000,1
2014-02-08 13:34:00,24.000000,1
2014-02-08 13:35:00,24.000000,1
2014-02-08 13:36:00,24.000000,1
2014-02-08 13:37:00,24.000000,1
2014-02-08 13:38:00,24.100000,1
2014-02-08 13:39:00,24.200000,1
2014-02-08 13:40:00,24.400000,1
2014-02-08 13:41:00,24.400000,1
2014-02-08 13:42:00,24.300000,1
2014-02-08 13:43:00,24.400000,1
2014-02-08 13:44:00,24.400000,1
2014-02-08 13:45:00,24.400000,1
2014-02-08 13:46:00,24.400000,1
2014-02-08 13:47:00,24.400000,1
2014-02-08 13:48:00,24.500000,1
2014-02-08 13:49:00,24.500000,1
2014-02-08 13:50:00,24.600000,1
2014-02-08 13:51:00,24.700000,1
2014-02-08 13:52:00,24.700000,1
2014-02-08 13:53:00,24.600000,1
2014-02-08 13:54:00,24.700000,1
2014-02-08 13:55:00,24.900000,1
2014-02-08 13:56:00,24.900000,1
2014-02-08 13:57:00,24.700000,1
2014-02-08 13:58:00,24.700000,1
2014-02-08 13:59:00,24.800000,1
2014-02-08 14:00:00,24.900000,1
2014-02-08 14:01:00,24.700000,1
2014-02-08 14:02:00,24.600000,1
2014-02-08 14:03:00,24.400000,1
2014-02-08 14:04:00,24.500000,1
2014-02-08 14:05:00,24.600000,1
2014-02-08 14:06:00,24.900000,1
2014-02-08 14:07:00,24.800000,1
2014-02-08 14:08:00,24.600000,1
2014-02-08 14:09:00,24.600000,1
2014-02-08 14:10:00,24.500000,1
2014-02-08 14:11:00,24.400000,1
2014-02-08 14:12:00,24.400000,1
2014-02-08 14:13:00,24.400000,1
2014-02-08 14:14:00,24.400000,1
2014-02-08 14:15:00,24.400000,1
2014-02-08 14:16:00,24.600000,1
2014-02-08 14:17:00,24.700000,1
2014-02-08 14:18:00,24.600000,1
2014-02-08 14:19:00,24.600000,1
2014-02-08 14:20:00,24.600000,1
2014-02-08 14:21:00,24.700000,1
2014-02-08 14:22:00,24.600000,1
2014-02-08 14:23:00,24.600000,1
2014-02-08 14:24:00,24.500000,1
2014-02-08 14:25:00,24.400000,1
2014-02-08 14:26:00,24.400000,1
2014-02-08 14:27:00,24.400000,1
2014-02-08 14:28:00,24.400000,1
2014-02-08 14:29:00,24.400000,1
2014-02-08 14:30:00,24.400000,1
2014-02-08 14:31:00,24.500000,1
2014-02-08 14:32:00,24.500000,1
2014-02-08 14:33:00,24.500000,1
2014-02-08 14:34:00,24.500000,1
2014-02-08 14:35:00,24.500000,1
2014-02-08 14:36:00,24.500000,1
2014-02-08 14:37:00,24.500000,1
2014-02-08 14:38:00,24.400000,1
2014-02-08 14:39:00,24.400000,1
2014-02-08 14:40:00,24.300000,1
2014-02-08 14:41:00,24.300000,1
2014-02-08 14:42:00,24.400000,1
2014-02-08 14:43:00,24.400000,1
2014-02-08 14:44:00,24.500000,1
2014-02-08 14:45:00,24.500000,1
2014-02-08 14:46:00,24.500000,1
2014-02-08 14:47:00,24.600000,1
2014-02-08 14:48:00,24.600000,1
2014-02-08 14:49:00,24.600000,1
2014-02-08 14:50:00,24.500000,1
2014-02-08 14:51:00,24.500000,1
2014-02-08 14:52:00,24.600000,1
2014-02-08 14:53:00,24.700000,1
2014-02-08 14:54:00,24.700000,1
2014-02-08 14:55:00,24.700000,1
2014-02-08 14:56:00,24.700000,1
2014-02-08 14:57:00,24.700000,1
2014-02-08 14:58:00,24.600000,1
2014-02-08 14:59:00,24.600000,1
2014-02-08 15:00:00,24.600000,1
2014-02-08 15:01:00,24.600000,1
2014-02-08 15:02:00,24.600000,1
2014-02-08 15:03:00,24.700000,1
2014-02-08 15:04:00,24.600000,1
2014-02-08 15:05:00,24.600000,1
2014-02-08 15:06:00,24.600000,1
2014-02-08 15:07:00,24.700000,1
2014-02-08 15:08:00,24.900000,1
2014-02-08 15:09:00,24.900000,1
2014-02-08 15:10:00,24.800000,1
2014-02-08 15:11:00,24.700000,1
2014-02-08 15:12:00,24.700000,1
2014-02-08 15:13:00,24.700000,1
2014-02-08 15:14:00,24.800000,1
2014-02-08 15:15:00,24.900000,1
2014-02-08 15:16:00,24.900000,1
2014-02-08 15:17:00,25.000000,1
2014-02-08 15:18:00,25.000000,1
2014-02-08 15:19:00,25.000000,1
2014-02-08 15:20:00,25.000000,1
2014-02-08 15:21:00,25.100000,1
2014-02-08 15:22:00,25.000000,1
2014-02-08 15:23:00,25.000000,1
2014-02-08 15:24:00,24.900000,1
2014-02-08 15:25:00,24.900000,1
2014-02-08 15:26:00,24.900000,1
2014-02-08 15:27:00,24.900000,1
2014-02-08 15:28:00,25.100000,1
2014-02-08 15:29:00,25.200000,1
2014-02-08 15:30:00,25.100000,1
2014-02-08 15:31:00,25.100000,1
2014-02-08 15:32:00,25.200000,1
2014-02-08 15:33:00,25.200000,1
2014-02-08 15:34:00,25.100000,1
2014-02-08 15:35:00,25.100000,1
2014-02-08 15:36:00,25.200000,1
2014-02-08 15:37:00,25.200000,1
2014-02-08 15:38:00,25.300000,1
2014-02-08 15:39:00,25.300000,1
2014-02-08 15:40:00,25.400000,1
2014-02-08 15:41:00,25.500000,1
2014-02-08 15:42:00,25.400000,1
2014-02-08 15:43:00,25.300000,1
2014-02-08 15:44:00,25.400000,1
2014-02-08 15:45:00,25.400000,1
2014-02-08 15:46:00,25.200000,1
2014-02-08 15:47:00,25.100000,1
2014-02-08 15:48:00,25.100000,1
2014-02-08 15:49:00,25.200000,1
2014-02-08 15:50:00,25.400000,1
2014-02-08 15:51:00,25.400000,1
2014-02-08 15:52:00,25.400000,1
2014-02-08 15:53:00,25.400000,1
2014-02-08 15:54:00,25.400000,1
2014-02-08 15:55:00,25.500000,1
2014-02-08 15:56:00,25.500000,1
2014-02-08 15:57:00,25.500000,1
2014-02-08 15:58:00,25.400000,1
2014-02-08 15:59:00,25.400000,1
2014-02-08 16:00:00,25.400000,1
2014-02-08 16:01:00,25.400000,1
2014-02-08 16:02:00,25.400000,1
2014-02-08 16:03:00,25.300000,1
2014-02-08 16:04:00,25.200000,1
2014-02-08 16:05:00,25.200000,1
2014-02-08 16:06:00,25.200000,1
2014-02-08 16:07:00,25.100000,1
2014-02-08 16:08:00,25.200000,1
2014-02-08 16:09:00,25.200000,1
2014-02-08 16:10:00,25.200000,1
2014-02-08 16:11:00,25.200000,1
2014-02-08 16:12:00,25.100000,1
2014-02-08 16:13:00,25.100000,1
2014-02-08 16:14:00,25.200000,1
2014-02-08 16:15:00,25.100000,1
2014-02-08 16:16:00,25.200000,1
2014-02-08 16:17:00,25.200000,1
2014-02-08 16:18:00,25.300000,1
2014-02-08 16:19:00,25.200000,1
2014-02-08 16:20:00,25.200000,1
2014-02-08 16:21:00,25.300000,1
2014-02-08 16:22:00,25.300000,1
2014-02-08 16:23:00,25.400000,1
2014-02-08 16:24:00,25.400000,1
2014-02-08 16:25:00,25.300000,1
2014-02-08 16:26:00,25.300000,1
2014-02-08 16:27:00,25.300000,1
2014-02-08 16:28:00,25.300000,1
2014-02-08 16:29:00,25.400000,1
2014-02-08 16:30:00,25.400000,1
2014-02-08 16:31:00,25.400000,1
2014-02-08 16:32:00,25.400000,1
2014-02-08 16:33:00,25.400000,1
2014-02-08 16:34:00,25.300000,1
2014-02-08 16:35:00,25.300000,1
2014-02-08 16:36:00,25.100000,1
2014-02-08 16:37:00,25.100000,1
2014-02-08 16:38:00,25.100000,1
2014-02-08 16:39:00,25.200000,1
2014-02-08 16:40:00,25.200000,1
2014-02-08 16:41:00,25.300000,1
2014-02-08 16:42:00,25.300000,1
2014-02-08 16:43:00,25.300000,1
2014-02-08 16:44:00,25.300000,1
2014-02-08 16:45:00,25.200000,1
2014-02-08 16:46:00,25.200000,1
2014-02-08 16:47:00,25.200000,1
2014-02-08 16:48:00,25.300000,1
2014-02-08 16:49:00,25.200000,1
2014-02-08 16:50:00,25.200000,1
2014-02-08 16:51:00,25.200000,1
2014-02-08 16:52:00,25.200000,1
2014-02-08 16:53:00,25.200000,1
2014-02-08 16:54:00,25.100000,1
2014-02-08 16:55:00,25.100000,1
2014-02-08 16:56:00,25.200000,1
2014-02-08 16:57:00,25.200000,1
2014-02-08 16:58:00,25.100000,1
2014-02-08 16:59:00,25.100000,1
2014-02-08 17:00:00,25.100000,1
2014-02-08 17:01:00,25.100000,1
2014-02-08 17:02:00,25.000000,1
2014-02-08 17:03:00,25.000000,1
2014-02-08 17:04:00,25.000000,1
2014-02-08 17:05:00,25.000000,1
2014-02-08 17:06:00,25.000000,1
2014-02-08 17:07:00,25.000000,1
2014-02-08 17:08:00,25.000000,1
2014-02-08 17:09:00,25.000000,1
2014-02-08 17:10:00,24.900000,1
2014-02-08 17:11:00,24.900000,1
2014-02-08 17:12:00,24.900000,1
2014-02-08 17:13:00,24.900000,1
2014-02-08 17:14:00,24.900000,1
2014-02-08 17:15:00,24.900000,1
2014-02-08 17:16:00,24.900000,1
2014-02-08 17:17:00,24.900000,1
2014-02-08 17:18:00,24.900000,1
2014-02-08 17:19:00,24.900000,1
2014-02-08 17:20:00,24.900000,1
2014-02-08 17:21:00,24.900000,1
2014-02-08 17:22:00,24.900000,1
2014-02-08 17:23:00,24.800000,1
2014-02-08 17:24:00,24.800000,1
2014-02-08 17:25:00,24.800000,1
2014-02-08 17:26:00,24.800000,1
2014-02-08 17:27:00,24.700000,1
2014-02-08 17:28:00,24.700000,1
2014-02-08 17:29:00,24.700000,1
2014-02-08 17:30:00,24.700000,1
2014-02-08 17:31:00,24.600000,1
2014-02-08 17:32:00,24.600000,1
2014-02-08 17:33:00,24.600000,1
2014-02-08 17:34:00,24.600000,1
2014-02-08 17:35:00,24.600000,1
2014-02-08 17:36:00,24.600000,1
2014-02-08 17:37:00,24.600000,1
2014-02-08 17:38:00,24.600000,1
2014-02-08 17:39:00,24.600000,1
2014-02-08 17:40:00,24.600000,1
2014-02-08 17:41:00,24.600000,1
2014-02-08 17:42:00,24.600000,1
2014-02-08 17:43:00,24.500000,1
2014-02-08 17:44:00,24.500000,1
2014-02-08 17:45:00,24.500000,1
2014-02-08 17:46:00,24.500000,1
2014-02-08 17:47:00,24.500000,1
2014-02-08 17:48:00,24.400000,1
2014-02-08 17:49:00,24.400000,1
2014-02-08 17:50:00,24.400000,1
2014-02-08 17:51:00,24.400000,1
2014-02-08 17:52:00,24.400000,1
2014-02-08 17:53:00,24.400000,1
2014-02-08 17:54:00,24.400000,1
2014-02-08 17:55:00,24.400000,1
2014-02-08 17:56:00,24.300000,1
2014-02-08 17:57:00,24.300000,1
2014-02-08 17:58:00,24.300000,1
2014-02-08 17:59:00,24.300000,1
2014-02-08 18:00:00,24.300000,1
2014-02-08 18:01:00,24.300000,1
2014-02-08 18:02:00,24.300000,1
2014-02-08 18:03:00,24.300000,1
2014-02-08 18:04:00,24.200000,1
2014-02-08 18:05:00,24.200000,1
2014-02-08 18:06:00,24.200000,1
2014-02-08 18:07:00,24.200000,1
2014-02-08 18:08:00,24.200000,1
2014-02-08 18:09:00,24.200000,1
2014-02-08 18:10:00,24.200000,1
2014-02-08 18:11:00,24.100000,1
2014-02-08 18:12:00,24.100000,1
2014-02-08 18:13:00,24.100000,1
2014-02-08 18:14:00,24.100000,1
2014-02-08 18:15:00,24.100000,1
2014-02-08 18:16:00,24.100000,1
2014-02-08 18:17:00,24.000000,1
2014-02-08 18:18:00,24.000000,1
2014-02-08 18:19:00,24.000000,1
2014-02-08 18:20:00,24.000000,1
2014-02-08 18:21:00,24.000000,1
2014-02-08 18:22:00,24.000000,1
2014-02-08 18:23:00,24.000000,1
2014-02-08 18:24:00,23.900000,1
2014-02-08 18:25:00,23.900000,1
2014-02-08 18:26:00,23.900000,1
2014-02-08 18:27:00,23.900000,1
2014-02-08 18:28:00,23.900000,1
2014-02-08 18:29:00,23.800000,1
2014-02-08 18:30:00,23.800000,1
2014-02-08 18:31:00,23.800000,1
2014-02-08 18:32:00,23.800000,1
2014-02-08 18:33:00,23.800000,1
2014-02-08 18:34:00,23.700000,1
2014-02-08 18:35:00,23.700000,1
2014-02-08 18:36:00,23.700000,1
2014-02-08 18:37:00,23.700000,1
2014-02-08 18:38:00,23.600000,1
2014-02-08 18:39:00,23.600000,1
2014-02-08 18:40:00,23.600000,1
2014-02-08 18:41:00,23.600000,1
2014-02-08 18:42:00,23.600000,1
2014-02-08 18:43:00,23.600000,1
2014-02-08 18:44:00,23.500000,1
2014-02-08 18:45:00,23.500000,1
2014-02-08 18:46:00,23.500000,1
2014-02-08 18:47:00,23.500000,1
2014-02-08 18:48:00,23.400000,1
2014-02-08 18:49:00,23.400000,1
2014-02-08 18:50:00,23.400000,1
2014-02-08 18:51:00,23.400000,1
2014-02-08 18:52:00,23.300000,1
2014-02-08 18:53:00,23.300000,1
2014-02-08 18:54:00,23.300000,1
2014-02-08 18:55:00,23.300000,1
2014-02-08 18:56:00,23.300000,1
2014-02-08 18:57:00,23.300000,1
2014-02-08 18:58:00,23.300000,1
2014-02-08 18:59:00,23.300000,1
2014-02-08 19:00:00,23.200000,1
2014-02-08 19:01:00,23.200000,1
2014-02-08 19:02:00,23.200000,1
2014-02-08 19:03:00,23.200000,1
2014-02-08 19:04:00,23.200000,1
2014-02-08 19:05:00,23.200000,1
2014-02-08 19:06:00,23.200000,1
2014-02-08 19:07:00,23.200000,1
2014-02-08 19:08:00,23.100000,1
2014-02-08 19:09:00,23.100000,1
2014-02-08 19:10:00,23.100000,1
2014-02-08 19:11:00,23.100000,1
2014-02-08 19:12:00,23.100000,1
2014-02-08 19:13:00,23.100000,1
2014-02-08 19:14:00,23.100000,1
2014-02-08 19:15:00,23.100000,1
2014-02-08 19:16:00,23.000000,1
2014-02-08 19:17:00,23.000000,1
2014-02-08 19:18:00,23.000000,1
2014-02-08 19:19:00,23.000000,1
2014-02-08 19:20:00,23.000000,1
2014-02-08 19:21:00,23.000000,1
2014-02-08 19:22:00,23.000000,1
2014-02-08 19:23:00,23.000000,1
2014-02-08 19:24:00,23.000000,1
2014-02-08 19:25:00,22.900000,1
2014-02-08 19:26:00,22.900000,1
2014-02-08 19:27:00,22.900000,1
2014-02-08 19:28:00,22.900000,1
2014-02-08 19:29:00,22.900000,1
2014-02-08 19:30:00,22.900000,1
2014-02-08 19:31:00,22.900000,1
2014-02-08 19:32:00,22.900000,1
2014-02-08 19:33:00,22.900000,1
2014-02-08 19:34:00,22.900000,1
2014-02-08 19:35:00,22.900000,1
2014-02-08 19:36:00,22.900000,1
2014-02-08 19:37:00,22.900000,1
2014-02-08 19:38:00,22.800000,1
2014-02-08 19:39:00,22.800000,1
2014-02-08 19:40:00,22.800000,1
2014-02-08 19:41:00,22.800000,1
2014-02-08 19:42:00,22.800000,1
2014-02-08 19:43:00,22.800000,1
2014-02-08 19:44:00,22.800000,1
2014-02-08 19:45:00,22.800000,1
2014-02-08 19:46:00,22.800000,1
2014-02-08 19:47:00,22.700000,1
2014-02-08 19:48:00,22.700000,1
2014-02-08 19:49:00,22.700000,1
2014-02-08 19:50:00,22.700000,1
2014-02-08 19:51:00,22.700000,1
2014-02-08 19:52:00,22.600000,1
2014-02-08 19:53:00,22.600000,1
2014-02-08 19:54:00,22.600000,1
2014-02-08 19:55:00,22.600000,1
2014-02-08 19:56:00,22.500000,1
2014-02-08 19:57:00,22.500000,1
2014-02-08 19:58:00,22.400000,1
2014-02-08 19:59:00,22.400000,1
2014-02-08 20:00:00,22.400000,1
2014-02-08 20:01:00,22.300000,1
2014-02-08 20:02:00,22.300000,1
2014-02-08 20:03:00,22.300000,1
2014-02-08 20:04:00,22.200000,1
2014-02-08 20:05:00,22.200000,1
2014-02-08 20:06:00,22.200000,1
2014-02-08 20:07:00,22.100000,1
2014-02-08 20:08:00,22.100000,1
2014-02-08 20:09:00,22.000000,1
2014-02-08 20:10:00,22.000000,1
2014-02-08 20:11:00,22.000000,1
2014-02-08 20:12:00,22.000000,1
2014-02-08 20:13:00,22.000000,1
2014-02-08 20:14:00,22.000000,1
2014-02-08 20:15:00,22.000000,1
2014-02-08 20:16:00,21.900000,1
2014-02-08 20:17:00,21.900000,1
2014-02-08 20:18:00,21.900000,1
2014-02-08 20:19:00,21.800000,1
2014-02-08 20:20:00,21.800000,1
2014-02-08 20:21:00,21.800000,1
2014-02-08 20:22:00,21.800000,1
2014-02-08 20:23:00,21.800000,1
2014-02-08 20:24:00,21.800000,1
2014-02-08 20:25:00,21.700000,1
2014-02-08 20:26:00,21.700000,1
2014-02-08 20:27:00,21.700000,1
2014-02-08 20:28:00,21.700000,1
2014-02-08 20:29:00,21.700000,1
2014-02-08 20:30:00,21.700000,1
2014-02-08 20:31:00,21.700000,1
2014-02-08 20:32:00,21.600000,1
2014-02-08 20:33:00,21.600000,1
2014-02-08 20:34:00,21.600000,1
2014-02-08 20:35:00,21.600000,1
2014-02-08 20:36:00,21.600000,1
2014-02-08 20:37:00,21.500000,1
2014-02-08 20:38:00,21.500000,1
2014-02-08 20:39:00,21.500000,1
2014-02-08 20:40:00,21.500000,1
2014-02-08 20:41:00,21.500000,1
2014-02-08 20:42:00,21.500000,1
2014-02-08 20:43:00,21.500000,1
2014-02-08 20:44:00,21.500000,1
2014-02-08 20:45:00,21.500000,1
2014-02-08 20:46:00,21.500000,1
2014-02-08 20:47:00,21.500000,1
2014-02-08 20:48:00,21.500000,1
2014-02-08 20:49:00,21.500000,1
2014-02-08 20:50:00,21.500000,1
2014-02-08 20:51:00,21.400000,1
2014-02-08 20:52:00,21.400000,1
2014-02-08 20:53:00,21.400000,1
2014-02-08 20:54:00,21.400000,1
2014-02-08 20:55:00,21.400000,1
2014-02-08 20:56:00,21.400000,1
2014-02-08 20:57:00,21.400000,1
2014-02-08 20:58:00,21.400000,1
2014-02-08 20:59:00,21.500000,1
2014-02-08 21:00:00,21.500000,1
2014-02-08 21:01:00,21.500000,1
2014-02-08 21:02:00,21.500000,1
2014-02-08 21:03:00,21.500000,1
2014-02-08 21:04:00,21.500000,1
2014-02-08 21:05:00,21.500000,1
2014-02-08 21:06:00,21.400000,1
2014-02-08 21:07:00,21.400000,1
2014-02-08 21:08:00,21.400000,1
2014-02-08 21:09:00,21.400000,1
